# cycle och pass data
1493 10 0 3476388002
1494 11 0 1657544763
1495 12 0 -197748660
1496 13 0 -836144447
1497 14 0 -400985167
1498 15 0 -2575207996
1505 0 0 -2410414080
1506 1 0 1450097708
1507 2 0 -2167879379
1508 3 0 -2330158403
1509 4 0 342703864
1510 5 0 -2360396653
1511 6 0 2678246581
1512 7 0 2024234974
1513 8 0 -240812097
1514 9 0 1124922950
1515 10 0 1796376609
1516 11 0 -132474265
1517 12 0 -370908262
1518 13 0 -489511866
1519 14 0 -1935806572
1520 15 0 -3297432626
1525 0 0 -3994124288
1526 1 0 -1193500203
1527 2 0 -1570969130
1528 3 0 3582934337
1529 4 0 387283725
1530 5 0 2978820191
1531 6 0 -1961846182
1532 7 0 -1318595813
1533 8 0 -117767951
1534 9 0 -184653444
1535 10 0 -1126015960
1536 11 0 702938166
1537 12 0 2645312715
1538 13 0 -124772154
1539 14 0 -1120010776
1540 15 0 757795856
1545 0 0 1733820416
1546 1 0 -252679280
1547 2 0 -2053298682
1548 3 0 -2067957638
1549 4 0 1537576246
1550 5 0 -1934090239
1551 6 0 1405325475
1552 7 0 338684766
1553 8 0 3040205935
1554 9 0 1602067579
1555 10 0 3174447015
1556 11 0 -914914733
1557 12 0 1711026599
1558 13 0 3370048037
1559 14 0 2084896918
1560 15 0 169661634
1565 0 0 5739151360
1566 1 0 3010136520
1567 2 0 1410042104
1568 3 0 -607830585
1569 4 0 -635501660
1570 5 0 -637325279
1571 6 0 -4670565039
1572 7 0 -4524634740
1573 8 0 -429884421
1574 9 0 -809424198
